Retailer,RetailerID,InvoiceDate,Region,State,City,Product,PricePerUnit,UnitsSold,TotalSales,OperatingProfit,SalesMethod
Walmart,1128299,6/17/2021,Southeast,Florida,Orlando,Women's Apparel,103.00,218,"2,245","1,257.00",Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,103.00,163,"1,679",806.00,Online
Sports Direct,1197831,8/25/2021,South,Alabama,Birmingham,Men's Street Footwear,10.00,700,"7,000","3,150.00",Outlet
Sports Direct,1197831,8/27/2021,South,Alabama,Birmingham,Women's Street Footwear,15.00,575,"8,625","3,881.00",Outlet
Sports Direct,1197831,8/21/2021,South,Alabama,Birmingham,Women's Street Footwear,15.00,475,"7,125","3,206.00",Outlet
West Gear,1185732,11/1/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,475,"7,125","2,494.00",In-store
Sports Direct,1185732,11/17/2021,South,Mississippi,Jackson,Men's Athletic Footwear,20.00,450,"9,000","3,150.00",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Street Footwear,15.00,450,"6,750","2,700.00",Online
West Gear,1185732,3/4/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.00,450,"9,000","2,700.00",In-store
Foot Locker,1185732,10/3/2020,Northeast,New York,New York,Men's Street Footwear,44.00,434,"1,910",993.00,Outlet
Foot Locker,1185732,1/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20.00,425,"8,500","2,975.00",In-store
West Gear,1185732,11/2/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,425,"6,375","2,231.00",In-store
West Gear,1185732,11/6/2021,West,Utah,Salt Lake City,Women's Street Footwear,20.00,425,"8,500","2,975.00",In-store
Amazon,1185732,10/4/2021,Midwest,Ohio,Columbus,Women's Street Footwear,20.00,425,"8,500","3,400.00",Online
Foot Locker,1185732,3/16/2021,South,Mississippi,Jackson,Women's Street Footwear,15.00,425,"6,375","2,550.00",Online
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Street Footwear,20.00,425,"8,500","3,400.00",Online
Walmart,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Apparel,20.00,425,"8,500","3,400.00",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20.00,425,"8,500","2,975.00",Online
Walmart,1185732,3/5/2020,Northeast,New York,New York,Men's Street Footwear,48.00,420,"2,016","1,129.00",Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,39.00,408,"1,591",875.00,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,46.00,403,"1,854","1,038.00",Outlet
West Gear,1185732,10/3/2021,West,Utah,Salt Lake City,Women's Street Footwear,20.00,400,"8,000","2,800.00",In-store
West Gear,1185732,11/6/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,400,"8,000","3,200.00",In-store
West Gear,1185732,11/10/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20.00,400,"8,000","2,800.00",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20.00,400,"8,000","2,800.00",In-store
Walmart,1185732,9/16/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,400,"8,000","3,200.00",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,15.00,400,"6,000","2,400.00",Online
Foot Locker,1185732,4/3/2020,Northeast,New York,New York,Men's Street Footwear,47.00,400,"1,880",978.00,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,40.00,390,"1,560",811.00,Outlet
Foot Locker,1185732,7/1/2020,Northeast,New York,New York,Men's Street Footwear,33.00,388,"1,280",666.00,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,34.00,384,"1,306",679.00,Outlet
